sentence,label
"A growing body of research shows that readers/listeners are biased by the grammatical gender of a noun when making inferences about the gender of its referent. This result is central in debates about gender-fair language but
has mostly been established using masculine generics. This paper presents two preregistered studies on French that aim to replicate this result but using a lesser-studied type of nouns: generic hybrid nouns. These nouns can refer
to both male and female individuals but are either masculine or feminine, depending on the noun (e.g. un talent 'a talent' and une vedette 'a star'). The availability of both genders for hybrid nouns allows for a more comprehensive
test of the effect of grammatical gender than permitted by masculine generics. Overall, the paper replicates the role of grammatical biases in gender inferences, with masculine hybrid nouns being judged as more likely to refer to male individuals as compared to feminine hybrid nouns. However the results did not reveal a symmetric bias for feminine nouns, which were interpreted as gender-neutral. But this latter result should be interpreted with caution as it could be due to uncontrolled effects of gender stereotypes coming from the specific stimuli used in the study.",0
-,0
"This paper argues that tone-driven epenthesis is possible in tonal languages, contrary to claims in the literature that it is unattested/impossible. In Wamey, an epenthetic [ə] is inserted to host a high tone in two contexts. The first is to host a tone which would otherwise be left floating due to a restriction on rising tones in closed syllables, i.e. /cv̀cⒽ/ maps to [cv̀cə́] due to a ban *[cv̌c]. The second is to host a tone which is introduced by word-level morphology but is restricted from associating across a stem boundary, i.e. an input /(cv̀cv̀)cⒽ/ maps to [(cv̀cv̀)cə́] not *[(cv̀cv́)c]. These patterns cannot be attributed to syllable phonotactics, which freely allow all consonants in coda position. We assemble the evidence for tone-driven epenthesis, focusing on the distribution of final [ə] in lexical stem structure and [ə]-alternating suffixes which pattern as underlyingly consonant-final. A simple OT analysis derives [ə]-epenthesis, utilising common constraints (e.g. *FLOAT, *RISE, OCP(H), DEP(μ), etc.) together with constraints against associating tone across certain prosodic boundaries. In total, Wamey provides evidence for parallelism between tonal and intonational languages given that intonation-driven epenthesis is well-established in the literature. This parallelism is predicted under a model where both types of prosodic systems make use of the same phonological substance and autosegmental architecture, and have the same functional pressures to cultivate segmental environments best suited for realizing pitch targets.",1
"Over the last 30 years, a strand of literature has debated the existence of abstract Case and its licensing function. While some recent work has argued in favor of abstract Case in languages that show no morphological case (Sheehan and van der Wal 2016, Halpert 2016), languages with this profile are overwhelmingly nominatively-aligned; there are no documented examples of an abstract ergative alignment with no morphological ergativity. Furthermore, most cross-linguistic work on ergativity assumes that all syntactically ergative languages also show morphological ergative case (Dixon 1994). This generalization is somewhat surprising from a case-theoretic perspective: if abstract Case exists, we expect to find a language with syntactic ergativity and no morphological ergativity. 

In this paper, I demonstrate that such a language is in fact attested: Nukuoro (Polynesian Outlier) shows a restriction on ergative extraction despite a lack of morphological ergative case. Additionally, I show that abstract Case in Nukuoro is required for nominal licensing, a claim supported by two environments where licensing appears to fail: namely, within VP and in non-finite clauses. In this way, Nukuoro provides further support for abstract Case in languages without morphological case (Sheehan and van der Wal 2016), specifically abstract ergative Case, as well as a nominal licensing requirement for DP arguments (i.e., the Case Filter; Chomsky 1981).",0
"Current NLP research uses neither linguistically annotated corpora nor the traditional pipeline of linguistic modules, which raises questions about the future of linguistics. Linguists who have tried to crack the secrets of deep learning NLP models, including BERT (a bidirectional transformer-based ML technique employed for Google Search), have had as their ultimate goal to show that deep nets make linguistic generalizations. I decided for an alternative approach. To check whether it is possible to process natural language without grammar, I developed a very simple model, the End-to-end N-Gram Model (EteNGraM), that elaborates on the standard n-gram model.  EteNGraM, at a very basic level, imitates current NLP research by handling semantic relations without semantics. Like in NLP, I pre-trained the model with the orders of the TAM markers in the verbal domain, fine-tuned it, and then applied it for derivation of Greenberg's Universal 20 and its exceptions in the nominal domain. Although EteNGraM is ridiculously simple and operates only with bigrams and trigrams, it successfully derives and differentiates between the attested and unattested patterns in Cinque (2005) ""Deriving Greenberg's Universal 20 and Its Exceptions"", Linguistic Inquiry 36, and Cinque (2014) ""Again on Tense, Aspect, Mood Morpheme Order and the ""Mirror Principle""."" In Functional Structure from Top to Toe: The Cartography of Syntactic Structures 9. EteNGraM also makes fine-grained predictions about preferred and dispreferred patterns across languages and reveals novel aspects of the organization of the verbal and nominal domain. To explain EteNGraM's highly efficient performance, I address issues such as: complexity of data versus complexity of analysis; structure building by linear sequences of elements and by hierarchical syntactic trees; and how linguists can contribute to NLP research.*

DOI: 10.13140/RG.2.2.17715.55843",1
"The logical problem of language acquisition has been at the forefront of psycholinguistics and behavioral neuroscience for decades. One of the most influential answers to the problem of how successful acquisition occurs on the basis of noisy input suggests that the child is aided by innate principles and parameters (P&P). These are conceived aspart of our biological endowment for language. Previous work on the computability of parametric models has focused on the process of parameter-setting,leaving settability unaddressed. Settability is a key notion in parametric models since it provides an answer to the logical problem of language acquisition: the setting of one parameter carries implications for the settability of others, minimizing the child's task. However, a mathematical analysis of the expected probability of successful computation of settability relations has not been carried out. We report results from a novel program developed to calculate the probability of successful computation of a network of 62 linguistic parameters as attested in 28 languages, spanning across 5 language families. The results reveal that some parameters have an extremely low probability of successful computation, such that trillions of unsuccessful computations are expected before a successful setting occurs. Using the same program, we performed an additional second analysis to a different network, covering 94 parameters from58 languages and 15 language families. In this case, the estimated number of expected unsuccessful computations rose from trillions to quadrillions. These results raise concerns about the computational feasibility of the highly influential P&P approach to language development. Merging insights from various acquisition models, including some developed within P&P, a biologically plausible alternative is offered for the process of deciphering a target grammar in the acquisition of both spoken and signed languages. Overall, our analysis of the P&P approach to language acquisition centers learnability and computability constraints as the major factors for determining the psychological plausibility of grammar development.",0
"In Washo (isolate/Hokan, USA), verbs always mark the person feature of the subject, but object marking is more complex. While overt objects are never marked, covert objects are obligatorily marked where possible, which is only with certain subject-object combinations. The generalization we find is that participant (first/second person) objects are marked regardless of the person of the subject, while third person object marking is only allowed if the subject is also third person. We claim that the Washo pattern illustrates a reverse, weak Person-Case Constraint (PCC) effect (*PART>3). To account for this effect, we adopt Deal's (2015, 2021) Interaction and Satisfaction framework with dynamic interaction, in which a single probe agrees with the subject and the object from a higher position, giving rise to the reverse flavor. We also argue that verbal indexing of covert objects in Washo is pronoun incorporation, which is licensed only by interaction with the probe. Zooming out, we show that the Washo data are a counterexample to Stegovec's (2019, 2020) generalization that reverse PCC effects only occur alongside canonical (i.e. non-reverse) PCC effects, as Washo specifically bans PART>3, but not 3>PART. In addition, we draw a comparison with Aleut. This language differs from Washo in that, in certain configurations, the object is higher than the subject (Yuan 2018), and as predicted by our high probe account, the PCC effects are canonical rather than reverse",1
"Usarufa is a dialect of the Awiyaana language, spoken in the eastern high-lands of Papua New Guinea. The present paper is the only discussion of Awiyaana appearing since the grammar of Bee (1973). It is shown that Bee's work, written within the ""tagmemic"" tradition, is an inadequate account of the language, and that this inadequacy is a direct result of the subordination of scientific principles to an ideological agenda. It is also shown that this prioritizing of ideology at the expense of science is not confined to Bee, nor to Usarufa, nor to linguistics.",0
"Agreement is a grammatical phenomenon whereby the form of a morpheme or word co-varies with the morphosyntactic properties of another word or phrase, typically a noun. Although agreement is, by definition, conditioned by the φ-features (e.g. person umber/gender features) of a noun, a broader survey of cross-linguistic patterns reveals that the surface realisation of a noun may similarly have an effect on agreement, even when its φ-features are kept constant. Focusing on noun-verb agreement dependencies, we provide several case studies illustrating this idea, and show that relevant factors range from a noun's morphological case to its structural position. Although in many cases these effects may be analysed in purely syntactic terms-that is, derivable from conditions on the syntactic process underlying agreement-we also highlight cross-linguistic patterns that seem to involve non-structural factors.",0
"Applications of the *ABA generalization (Bobaljik 2012) have been fruitfully proposed in many domains. In this short squib, we propose that a similar generalization obtains in the domain of numerals, with the triplet being the cardinal, the ordinal and the fractional, and hypothesize that these categories stand in a morphosyntactic containment relation. There are ABB patterns (e.g. three, the third, two thirds), AAB patterns (e.g. four, the fourth, three quarters), ABC patterns (two, the second, one half), but no robust *ABA patterns of this type. We have so far surveyed the cardinal, ordinal and fractional expressions for 1 through 5 in 38 languages from 17 language families and look forward to any potential supporting or counterexamples!",0
"This paper deals with the so-called 'inflectionless adjectives' in Bulgarian. Several new empirical observations are made regarding the syntactic distribution, the restrictions on definiteness and the exclamatory flavour of the noun phrases in which these adjectives occur. The main proposal is that these lexical items are predicates of (nominal) small clauses and that the construction in question does not seem to be limited to these exceptional adjectives. It is argued that both the attributive type and the comparative type of nominal predication are attested in Bulgarian, on a par with English small clauses like 'an idiot doctor' and 'an idiot of a man'. I outline a syntactic account of these two types of nominal predication, according to which the two types correspond to different structures. I also propose that the semantic and syntactic properties of inflectionless adjectives are best accounted for if we assume that they combine with a null noun.",0
"This work investigates the syntactic and semantic distribution of reflexive forms themself vs. themselves. We focus on whether the use of -self vs -selves is affected by specificity of the antecedent, distinguishing seven levels for a singular antecedent: quantified indefinites (some/any), quantified universals (each/every o), generic kind definites, specific indefinites, specific definites, unknown specific person, named person. We administered an online acceptability judgment survey to 1,127 participants, recruited on Twitter and Prolific, who rated sentences on a 5-point Likert scale from ""very natural"" to ""very unnatural,"" in a randomized order, and then completed a short demographic survey. We find that antecedent type, -self/-selves form of the anaphor, and social variables including age, gender, and endorsement of prescriptive language ideology all affected how participants rated the sentences; themself was generally rated higher than themselves for most antecedents, contra previous findings. Our results seem to indicate that themself is preferred by many English speakers for singular antecedents, and also that the singular use of themself/themselves is a sociosyntactically active and salient variable across those speakers.",0
"Language is subject to a variety of pressures. Recent work has documented that many aspects of language structure have properties that appear to be shaped by biases for the efficient communication of semantic meaning. Other work has investigated the role of social pressures, whereby linguistic variants can acquire positive or negative evaluation based on who is perceived to be using them. While the influence of these two sets of biases on language change has been well-documented, they have typically been treated separately, in distinct lines of research. We used a miniature-language paradigm to test how these biases interact in language change. Specifically, we asked whether pressures to mark social meaning can lead linguistic systems to become less efficient at communicating semantic meaning. We exposed participants to a miniature language with uninformative constituent order and two dialects, one of which employed case and the other one did not. In the instructions, we socially biased participants toward users of the case dialect, users of the no-case dialect, or toward neither. Learners biased toward the no-case dialect dropped informative case, thus creating a linguistic system with high message uncertainty. They failed to compensate for this increased message uncertainty even after additional exposure to the novel language. Case was retained in all other conditions. These findings suggest that not only do social biases interact with biases for efficient communication in language change, but that they can lead to linguistic systems that are less efficient at communicating semantic meaning.",0
"Some English verbs use distinct forms for the preterite (e.g. I BROKE the door) and the past participle (e.g. I've BROKEN the door). These verbs may variably show use of the preterite form in place of the participle (e.g. I've BROKE the door), which we call PARTICIPLE LEVELING. This paper contributes the ﬁrst detailed variationist study of participle leveling by investigating the phenomenon in perfect constructions using data collected from three corpora of conversational speech: two of American English and one of British English. A striking degree of similarity is found between the three corpora in both the linguistic and the extralinguistic constraints on variation. Constraints on participle leveling include tense of the perfect construction, verb frequency, and phonological similarity between preterite and participle forms. The variable is stable in real time and socially stratiﬁed. The paper relates the ﬁndings to theoretical linguistic treatments of the variation, and to questions of its origin and spread in Englishes transatlantically.",0
"This is the version of our detailed answers to the respective comments on the target paper (=lingbuzz/005397) ""Slavic languages – SVO languages without SVO properties"" that will go to print. The title has changed. The new title is:
""Slavic languages are Type 3 languages: Replies"".",0
"[Final version. Please, do not quote previous versions] In standard German usage, such as in public broadcasting and TV, the glottal stop has recently turned phonemic. Up to the present, it has been allophonic only. This change is an immediate upshot of politically correct gendering. The new gendering suffix is a variant of an existing vowel-initial gender suffix, but with a glottal stop as syllable onset, which turns the new suffix into a phonological word.",0
"A'-extraction of possessors in West Circassian is constrained in a puzzling way: the possessor of an ergative or applied argument DP may not undergo clausebound wh-movement, but long-distance possessor extraction across a clausal boundary is grammatical. Based on the variable islandhood of these DPs, this talk argues for an agree-based approach to phasehood. Phase opacity is treated as defective intervention, with the phase intervening between the probe and the goal. Defective intervention does not take place if the corresponding phase has independently entered an Agree relation with the movement-triggering probe. Islandhood is thus correctly predicted to be contextually determined: in West Circassian, the difference between clausebound and long-distance possessor extraction is conditioned by the set of agreement features on the local movement-triggering probe: a wh-feature on C in the case of clausebound extraction and a successive-cyclic edge feature on embedded C in the case of long-distance wh-movement. Additionally, the account appeals to the opacity of phase edges to explain the contrast between DPs which display islandhood effects (ergative and applied argument DPs) and constituents which are uniformly transparent for subextraction (the absolutive DP and postpositional phrases).",0
"Distinctions related to person and animacy have long been known to impact both the grammar and incremental processing in a way that can be described through ""prominence"" scales. We put the generalizability of these scales to the test by examining the processing effects of a typologically uncommon distinction known as obviation, which is found in Ojibwe, an Indigenous language of North America. Obviation contrasts the single most discourse-salient animate third person
(proximate) with other non-salient third persons (obviative). Using a visual world paradigm, we show that obviation influences parsing and interpretation commitments under incremental ambiguity: Proximate nouns are assumed to be the agent of an action, while obviative nouns do not lead to strong incremental commitments. This result parallels previous findings in other languages with distinctions related to animacy and person, supporting a theory where the effect of prominence information in processing is the result of a common set of constraints derived from the alignment of scales related to person, syntactic position, and thematic role.",0
"In this article I argue that Dutch has referential compounds: compounds with a referential non-head, even though that claim seems to be a contradictio in terminis. They resemble the Dutch s-possessive in that their non-heads involve movement to a referential layer. However, unlike the possessive structures, the compounding structure contains head incorporation which results in word-hood. The referential compound is therefore an instance of the fourth logical possibility according to the two parameters defined by Borer (2011) for N-N combinations: compounding versus constructs and modificational structures versus referential ones. The article further discusses title expressions, such as prince Charles, which are argued to be referential construct states. Together with the syntactic structure of titles plus proper names, the referential compounds further contribute evidence to the idea that a ban on N-to-D movement for certain uniquely referring roots, such as sun and Bronx is extra-syntactic.",0
"Since the development of a fine-grained syntax of the DP and the IP projections in the late 1980's, some similarities and correspondences have been further noted across the two types of projections. Varies attempts have been made to explain these similarities.

One of the most serious attempts to explain the correspondences across the nominal and the verbal domains is Wiltschko's 2014 Universal Spine Hypothesis (USP). According to USP, the verbal and nominal extended projections are unified at an abstract syntactic level. They emerge from a single abstract projection that gets instantiated by different categorial units of individual languages.

In this paper, I will present a supporting evidence to Wiltschko's hypothesis by arguing that the prospective aspect of the verbal spine and the dative case feature of the nominal spine are unified at abstract level. The evidence is mainly from the Amharic language. But, I will also suggest that the same analysis can be extended to the English infinitive marker to which also happen to be a dative marker.",0
"All possessive structures in Äiwoo contain clausal structure, revolving around the abstract verb POSS, a transitive Undergoer Voice (UV) verb. This verb can be used by itself to form clausal possession: ""I POSS the boat"" ≈ ""the boat is mine"". Importantly, possessed DPs also contain the verb POSS: the object of this verb is extracted, to form a relative clause. Informally described, ""my boat"" really is ""the boat [that I POSS __]"" ≈ ""the boat that is mine"". Thus, Äiwoo doesn't have true nominal possessives like my, mine, their(s), or anything like the Saxon genitive 's; the only way to form a possessed DP in Äiwoo is through relativization. Evidence for this comes from word order syntax, voice morphology, and agreement morphology.

This has implications for our understanding of the syntactic properties
of possession cross-linguistically. An influential view (Szabolcsi 1983, 1994, Freeze 1992, Kayne 1993) maintains that universally, all clausal possession is derived from an underlying nominal (DP-like) constituent, from where an argument is extracted. Äiwoo does it the other way around (deriving possessed DPs from clauses), and thus it challenges the universality of this approach.

v2: typos corrected, added grant information",0
"Cross-linguistically, it is difficult to tease apart allomorphy from readjustment rules. But regardless, both tend to respect locality and are sensitive to information that is present in the input, not the output (Embick 2010, 2013, 2017). We document a counter-example to these tendencies from Western Armenian, and we discuss how the data falsifies such restrictive models of allomorphy. The Western Armenian theme vowel -i- changes to the theme vowel -e- due to two types of triggers. The first type of trigger is phonological: the change happens when the theme vowel is unstressed in the output. This is a type of allomorphy that is conditioned by output phonology (contra Paster 2006). The second type of trigger is morphological: the change happens when the verb is in the past tense. The +Past morpheme can be either in the verb (adja- cent to the theme vowel) or on a separate auxiliary in periphrasis. This amounts to a case of long-distance allomorphy that is conditioned across words, even in suspended affixation (contra Bobaljik 2012). For suspended affixation, I provide semantic and prosodic evidence that suspended affixation is created via base-generation and not via ellipsis. The inability to use ellipsis acts as additional evidence that the allomorphy is long-distance. ******[Title: Output-conditioned and non-local allomorphy in Armenian theme vowels]",1
"The functional-typological literature distinguishes two kinds of inverse constructions: inverse voice, in which the patient becomes the subject, and inverse alignment, in which the patient is agreed with like a canonical subject. In this literature, Algonquian languages are held to be the prototypical example of a system in which the two kinds of inverses coexist: the inverse is a ""deep"" voice construction in clauses with two third-person arguments and a ""shallow"" alignment pattern in clauses in which a third person acts on an SAP. This paper argues that this conclusion is correct and attempts to reconcile it with formal models of voice and agreement. It is proposed that despite their distinct syntactic underpinnings, both inverse constructions result in a derivation in which Voice lacks phi-features and Infl indexes only the patient. This shared outcome explains why the inverse appears to be a unified phenomenon from a morphological perspective even though its syntactic correlates differ in third-person and SAP contexts.",1
"In Government Phonology and its descendants, there is a direct relation between representational complexity and lateral strength, as only melodically filled nuclei can discharge government and licensing. This relation is only broken in special circumstances, e.g. when lateral actorship is granted by a systemic parameter. In this paper, I provide a normalisation of lateral actorship by showing that the latter's correlation with complexity also holds for some silent nuclei without introducing a dedicated parameter. The hypothesis is that representational complexity does not necessarily correspond to some phonetic event: a non-empty nucleus can be unpronounced, without this impinging on its lateral actorship. Turbidity Theory provides the formal tools for distinguishing between empty and unpronounced nuclei. This follows from splitting the association between melodic and prosodic units into two independent relations - projection and pronunciation. Empty nuclei lack melodic content, whereas unpronounced nuclei only lack the pronunciation relation. This approach is shown to account for disparate phenomena, such as glide mutation in Classic Arabic, inflectional markers spell-out in Egyptian Colloquial Arabic and the apparently exceptional behaviour of muta cum liquida clusters in Hungarian and in the Italian dialect of Finale Emilia. This approach also allows for a refinement of our understanding of the so-called yers, as well as for constraining the use of floating melody.",0
"There are three ways of deriving verbs in Dutch: through zero marking, through suffixation, and through prefixation. We focus on prefixed deadjectival verbs, contrasting two views. According to the first view, prefixed verbs are left-headed: the prefix is responsible for the change in category, i.e. [V ver [A breed]]. The second view holds that prefixed verbs are right-headed, and involve a zero verbalizing suffix, i.e., [V ver [V [A breed] ∅ ]]. We argue in this paper for a mixed approach. We adopt Ramchand's (2008) decomposition of the verb and argue that the prefix spells out part of the verbal structure and the verbal root spells out another part.",0
A 600-word piece appearing in World Literature Today that discusses how we translated Juana Peñate Montejo's poetry from Ch'ol to English explaining our linguistically informed decisions.,0
"Georgian features three patterns of nominal inflection, which are dependent on the structure of the stem. The stem can be consonantal, vocalic truncating, and vocalic non-truncating, with the consequences for the shape of the inflectional suffixes. However, variants of each individual case suffix differ across the three stem types in unique ways, with no single pattern being used for more than one grammatical case. This could suggest a solution based on traditional allomorph selection from a predefined list of stored forms. The paper argues, however, that a phonological explanation of the pattern is possible when rich autosegmental representations are employed. The analysis is couched within the CVCV model of phonology (Scheer 2004).",0
"It is often claimed by Chinese generative researchers (Cheng and Huang 1994, Li 1999, Huang 2006) that Mandarin resultatives do not respect the Direct Object Restriction (DOR). In this article, we show that there is one way of analyzing resultative compounds that does not incur a violation of the DOR: the second element of the compound is treated as a modifier of the result state, rather than a true resultative predicate.",0
